sample,uvp,location,latitude,uvb,t_avg
145,0.401225740551583,kre,49.17487,9775.12109375,5.2379999657
146,0.626093294460641,kre,49.17487,9775.12109375,5.2379999657
147,0.70780711825488,kre,49.17487,9775.12109375,5.2379999657
148,0.445481335952849,zhu2,49.17885,9775.12109375,5.2379999657
149,0.47964007930456,zhu2,49.17885,9775.12109375,5.2379999657
150,0.615890688259109,zhu2,49.17885,9775.12109375,5.2379999657
151,0.456870306474528,zhu2,49.17885,9775.12109375,5.2379999657
152,0.545100515735186,zhu2,49.17885,9775.12109375,5.2379999657
153,0.546384309950668,zhu2,49.17885,9775.12109375,5.2379999657
154,0.557951768830341,zhu2,49.17885,9775.12109375,5.2379999657
155,0.582846003898635,zhu2,49.17885,9775.12109375,5.2379999657
156,0.348798444228365,gra,47.99632,10388.091796875,8.2268333687
157,0.32752327066983,gra,47.99632,10388.091796875,8.2268333687
158,0.572443392037887,gra,47.99632,10388.091796875,8.2268333687
159,0.393569010906356,gra,47.99632,10388.091796875,8.2268333687
160,0.534639683049577,gra,47.99632,10388.091796875,8.2268333687
161,0.448354908306365,gra,47.99632,10388.091796875,8.2268333687
162,0.46656050955414,gra,47.99632,10388.091796875,8.2268333687
163,0.447701024188276,gra,47.99632,10388.091796875,8.2268333687
164,0.30085146641438,gra,47.99632,10388.091796875,8.2268333687
165,0.505179013735645,eib1,47.80648,10196.123046875,7.4411667027
166,0.483735571878279,eib1,47.80648,10196.123046875,7.4411667027
167,0.542778390297685,eib1,47.80648,10196.123046875,7.4411667027
168,0.437339855578849,eib1,47.80648,10196.123046875,7.4411667027
169,0.514023210831722,eib1,47.80648,10196.123046875,7.4411667027
170,0.395464798765286,eib1,47.80648,10196.123046875,7.4411667027
171,0.352955604611234,eib1,47.80648,10196.123046875,7.4411667027
172,0.49298160696999,eib1,47.80648,10196.123046875,7.4411667027
173,0.332229388181977,eib2,47.7989,10196.123046875,7.4411667027
174,0.271969211032713,eib2,47.7989,10196.123046875,7.4411667027
175,0.581707572897,eib2,47.7989,10196.123046875,7.4411667027
176,0.487969201154957,eib2,47.7989,10196.123046875,7.4411667027
177,0.541536238863472,eib2,47.7989,10196.123046875,7.4411667027
178,0.518877380554627,eib2,47.7989,10196.123046875,7.4411667027
179,0.395285935085008,eib2,47.7989,10196.123046875,7.4411667027
180,0.482978723404255,wie,47.7587,10388.091796875,7.3906666301
181,0.527802294792586,wie,47.7587,10388.091796875,7.3906666301
182,0.418089968727448,wie,47.7587,10388.091796875,7.3906666301
183,0.431274900398406,wie,47.7587,10388.091796875,7.3906666301
184,0.30352217271377,wie,47.7587,10388.091796875,7.3906666301
185,0.459682823319187,wie,47.7587,10388.091796875,7.3906666301
186,0.396238244514107,wie,47.7587,10388.091796875,7.3906666301
187,0.453821433561548,wie,47.7587,10388.091796875,7.3906666301
188,0.343028563975479,sal,47.76295,10388.091796875,8.8675000857
189,0.504408960915157,sal,47.76295,10388.091796875,8.8675000857
190,0.334752823551194,sal,47.76295,10388.091796875,8.8675000857
191,0.459034345445495,sal,47.76295,10388.091796875,8.8675000857
192,0.502497658445208,sal,47.76295,10388.091796875,8.8675000857
193,0.509818875119161,sal,47.76295,10388.091796875,8.8675000857
194,0.349917987971569,sal,47.76295,10388.091796875,8.8675000857
195,0.578410539736507,sal,47.76295,10388.091796875,8.8675000857
196,0.588630259623993,sal,47.76295,10388.091796875,8.8675000857
197,0.523665338645418,pri,50.45952,9482.3046875,5.2204999424
198,0.488804347826087,pri,50.45952,9482.3046875,5.2204999424
199,0.36349388778602,pri,50.45952,9482.3046875,5.2204999424
200,0.431070678796361,pri,50.45952,9482.3046875,5.2204999424
201,0.522909698996655,pri,50.45952,9482.3046875,5.2204999424
202,0.448576558091818,pri,50.45952,9482.3046875,5.2204999424
203,0.341395452518948,pri,50.45952,9482.3046875,5.2204999424
204,0.536528866714184,pri,50.45952,9482.3046875,5.2204999424
205,0.5,pri,50.45952,9482.3046875,5.2204999424
206,0.467633175994606,pri,50.45952,9482.3046875,5.2204999424
207,0.458504260018933,pri,50.45952,9482.3046875,5.2204999424
208,0.504577611319184,kov,50.43035,9482.3046875,4.8281667065
209,0.416930737890448,kov,50.43035,9482.3046875,4.8281667065
210,0.416019760056457,kov,50.43035,9482.3046875,4.8281667065
211,0.389141325876733,kov,50.43035,9482.3046875,4.8281667065
212,0.401703653889263,kov,50.43035,9482.3046875,4.8281667065
213,0.323020928116469,kov,50.43035,9482.3046875,4.8281667065
214,0.412775813726685,kov,50.43035,9482.3046875,4.8281667065
215,0.434082463280835,kov,50.43035,9482.3046875,4.8281667065
216,0.347403910991234,cvd1,50.41845,9482.3046875,4.8281667065
217,0.320385380027527,cvd1,50.41845,9482.3046875,4.8281667065
218,0.250984420475946,cvd1,50.41845,9482.3046875,4.8281667065
219,0.179866611087953,cvd1,50.41845,9482.3046875,4.8281667065
220,0.209829580036519,cvd1,50.41845,9482.3046875,4.8281667065
221,0.319237510955302,cvd1,50.41845,9482.3046875,4.8281667065
222,0.344838072069332,cvd1,50.41845,9482.3046875,4.8281667065
223,0.406199605805411,cvd1,50.41845,9482.3046875,4.8281667065
224,0.220293325351691,cvd1,50.41845,9482.3046875,4.8281667065
